作业等待调度
----------------------------------------------------
作业号         用户名              进程号       所需内存        进入系统时间        开始运行时间            内存地址
1          Admin                   0             18                 100                   0                   0
2          Admin                   0             15                 150                   0                   0
3          Admin                   0             18                 200                   0                   0
4          Admin                   0             24                 250                   0                   0
5          Admin                   0             25                 300                   0                   0
6          Admin                   0             22                 350                   0                   0
7          Admin                   0             24                 400                   0                   0
8          Admin                   0             25                 450                   0                   0
9          Admin                   0             25                 500                   0                   0
10          Admin                   0             25                 550                   0                   0
